FID;PSID;CSID;DSID;ordid;price;quantity
743;9;71;3725;1551;50;1
744;9;87;3699;1548;50;3
745;9;79;3873;1521;50;6
746;9;89;3878;1455;50;2
747;9;95;3663;1443;50;6
748;9;94;3972;1439;50;1
749;9;77;3807;1430;50;4
750;9;71;3893;1370;50;1
751;9;74;3758;1306;50;6
752;9;97;3758;1287;50;3
753;9;90;3680;1274;50;2
754;9;77;3746;1264;50;5
755;9;91;3939;1216;50;3
756;9;82;3891;1187;50;1
757;9;76;3741;1143;50;4
758;9;88;3847;1135;50;6
759;9;89;3799;1102;50;3
760;9;67;3809;1083;50;3
761;9;87;3920;1079;50;4
762;9;72;3792;1033;50;1
763;9;71;4004;1028;50;2
764;9;94;3925;1023;50;5
765;9;69;3811;983;50;5
766;9;77;3885;949;50;6
767;9;75;3785;947;50;4
768;9;94;3823;869;50;2
769;9;94;3816;848;50;1
770;9;81;3662;828;50;1
771;9;70;3668;812;50;3
772;9;69;3953;781;50;6
773;9;71;3845;770;50;4
774;9;73;3824;742;50;1
775;9;90;3838;738;50;5
776;9;94;3654;721;50;1
777;9;76;3735;717;50;1
778;9;83;3809;649;50;2
779;9;91;3654;548;50;2
780;9;90;3809;509;50;1
781;9;72;3875;493;50;5
782;9;91;3734;473;50;2
783;9;81;3747;467;50;1
784;9;95;3796;464;50;1
785;9;78;3699;443;50;5
786;9;76;3781;438;50;6
787;9;82;3991;427;50;3
788;9;78;3870;398;50;6
789;9;89;3985;332;50;2
790;9;73;3924;299;50;6
791;9;74;3793;288;50;3
792;9;94;3667;257;50;5
793;9;84;3765;251;50;4
794;9;86;3897;234;50;3
795;9;81;4000;201;50;4
796;9;89;3954;161;50;2
797;9;82;3993;79;50;6
798;9;86;3949;64;50;3
799;9;76;3918;63;50;3
800;9;80;3665;8;50;5
801;10;69;3805;2984;7;5
802;10;73;3891;2962;7;2
803;10;80;3969;2935;7;6
804;10;79;3664;2933;7;1
805;10;77;3858;2917;7;4
806;10;96;3830;2859;7;3
807;10;81;3834;2854;7;1
808;10;96;3889;2819;7;2
809;10;80;4011;2802;7;6
810;10;72;3680;2771;7;1
811;10;82;3694;2765;7;2
812;10;74;3775;2758;7;1
813;10;93;3956;2728;7;6
814;10;76;3965;2667;7;2
815;10;75;3856;2663;7;3
816;10;88;3679;2640;7;5
817;10;72;3711;2637;7;3
818;10;82;3837;2613;7;2
819;10;90;3755;2602;7;6
820;10;87;3709;2601;7;1
821;10;81;3694;2571;7;4
822;10;78;3982;2566;7;3
823;10;96;3947;2555;7;2
824;10;74;3895;2554;7;2
825;10;95;3881;2548;7;3
826;10;97;3912;2541;7;1
827;10;73;3981;2532;7;6
828;10;86;3774;2517;7;3
829;10;68;4009;2497;7;2
830;10;73;3765;2486;7;5
831;10;82;3782;2433;7;6
832;10;92;3851;2422;7;4
833;10;89;3985;2408;7;3
834;10;88;4008;2365;7;3
835;10;67;3826;2363;7;2
836;10;89;3811;2356;7;3
837;10;68;3714;2352;7;4
838;10;78;3887;2348;7;2
839;10;94;3915;2323;7;4
840;10;86;3885;2321;7;4
841;10;81;3720;2306;7;5
842;10;91;3814;2275;7;5
843;10;79;3728;2216;7;1
844;10;88;3998;2195;7;6
845;10;84;4016;2191;7;4
846;10;97;3967;2182;7;4
847;10;96;3773;2149;7;3
848;10;91;3778;2095;7;1
849;10;78;3990;2076;7;1
850;10;95;3997;2073;7;4
851;10;84;3912;2070;7;2
852;10;67;3704;2061;7;4
853;10;88;3690;2017;7;1
854;10;92;3880;2011;7;6
855;10;94;3731;1972;7;5
856;10;73;3670;1971;7;2
857;10;85;3748;1954;7;2
858;10;93;3803;1933;7;4
859;10;84;3700;1899;7;3
860;10;68;3708;1869;7;6
861;10;73;3696;1841;7;3
862;10;78;3924;1826;7;3
863;10;88;3857;1785;7;5
864;10;93;3841;1763;7;1
865;10;74;3926;1754;7;6
866;10;97;3935;1730;7;6
867;10;87;3710;1722;7;3
868;10;89;3939;1682;7;4
869;10;86;3976;1681;7;2
870;10;71;3793;1669;7;2
871;10;93;3672;1637;7;5
872;10;92;3777;1635;7;3
873;10;97;3674;1593;7;6
874;10;97;3900;1584;7;4
875;10;89;3845;1562;7;1
876;10;71;3725;1551;7;5
877;10;73;3727;1527;7;4
878;10;76;3852;1516;7;6
879;10;85;3975;1487;7;5
880;10;95;3941;1466;7;1
881;10;79;3825;1412;7;4
882;10;83;3703;1391;7;6
883;10;82;3752;1349;7;4
884;10;95;3775;1340;7;2
885;10;97;3701;1321;7;1
886;10;87;3726;1315;7;5
887;10;71;3889;1256;7;3
888;10;92;3786;1252;7;2
889;10;83;3909;1246;7;6
890;10;87;3886;1215;7;5
891;10;73;3683;1200;7;5
892;10;88;3789;1197;7;2
893;10;96;3883;1160;7;1
894;10;74;3769;1136;7;3
895;10;89;4002;1110;7;3
896;10;89;3899;1107;7;6
897;10;92;3928;1104;7;3
898;10;71;3852;1008;7;4
899;10;78;3966;956;7;3
900;10;71;3868;951;7;1
901;10;80;3818;923;7;5
902;10;81;3897;921;7;2
903;10;84;3864;907;7;6
904;10;90;3941;903;7;2
905;10;67;3861;868;7;6
906;10;94;3681;840;7;4
907;10;94;3904;801;7;2
908;10;85;3894;789;7;5
909;10;88;3682;727;7;2
910;10;89;3983;690;7;6
911;10;91;3924;678;7;2
912;10;84;3998;672;7;3
913;10;82;3708;637;7;3
914;10;86;3759;592;7;5
915;10;75;3684;570;7;3
916;10;79;3885;569;7;1
917;10;67;3873;499;7;2
918;10;76;3904;396;7;1
919;10;78;3666;395;7;4
920;10;73;3989;360;7;3
921;10;84;3777;320;7;6
922;10;71;3853;279;7;1
923;10;96;3674;254;7;4
924;10;74;3804;213;7;3
925;10;92;3809;196;7;3
926;10;89;3817;190;7;5
927;10;76;3902;160;7;2
928;10;84;3888;159;7;3
929;10;78;3673;144;7;2
930;10;90;3655;136;7;5
931;10;71;3894;130;7;5
932;10;75;3924;112;7;3
933;10;91;3708;101;7;6
934;10;82;3993;79;7;4
935;10;78;3681;70;7;3
936;10;91;3757;62;7;1
937;10;86;3825;46;7;2
938;10;85;3904;34;7;2
939;11;71;3882;2998;6;5
940;11;79;3943;2977;6;4
941;11;71;3835;2953;6;4
942;11;93;4006;2952;6;2
943;11;85;3858;2944;6;3
944;11;80;3934;2918;6;1
945;11;84;3948;2905;6;3
946;11;84;3842;2884;6;5
947;11;69;3754;2870;6;6
948;11;75;3994;2855;6;2
949;11;77;3737;2741;6;6
950;11;77;3829;2711;6;3
951;11;69;3862;2684;6;3
952;11;85;3958;2659;6;5
953;11;68;3754;2627;6;4
954;11;87;3743;2594;6;4
955;11;75;3979;2547;6;2
956;11;69;3887;2537;6;3
957;11;95;3771;2519;6;4
958;11;74;3893;2509;6;5
959;11;96;3987;2504;6;1
960;11;77;3873;2463;6;6
961;11;96;4007;2460;6;1
962;11;75;3877;2442;6;5
963;11;69;3754;2420;6;3
964;11;71;3673;2407;6;5
965;11;72;3706;2354;6;6
966;11;79;3881;2344;6;2
967;11;89;3733;2331;6;5
968;11;88;3725;2309;6;2
969;11;69;3793;2303;6;6
970;11;77;4008;2230;6;5
971;11;91;3664;2225;6;2
972;11;79;3667;2192;6;6
973;11;72;3861;2188;6;1
974;11;97;3967;2182;6;2
975;11;85;3662;2180;6;1
976;11;71;3856;2086;6;5
977;11;77;4005;2065;6;1
978;11;74;3732;2050;6;4
979;11;81;3753;2049;6;4
980;11;69;3831;2004;6;3
981;11;69;3966;2003;6;5
982;11;80;3822;1987;6;6
983;11;88;3960;1968;6;6
984;11;89;3884;1967;6;1
985;11;82;3955;1860;6;4
986;11;87;3806;1858;6;1
987;11;75;3760;1810;6;1
988;11;92;3739;1795;6;2
989;11;93;3841;1763;6;4
990;11;94;3748;1761;6;5
991;11;97;3664;1750;6;5
992;11;97;4008;1749;6;2
993;11;84;3683;1745;6;2
994;11;92;3806;1740;6;5
995;11;69;3779;1731;6;2
996;11;89;3989;1711;6;4
997;11;90;3731;1679;6;3
998;11;97;3930;1660;6;3
999;11;68;3956;1609;6;5
1000;11;94;3858;1597;6;4
1001;11;76;3739;1585;6;4
1002;11;89;3818;1536;6;1
1003;11;76;3911;1444;6;2
1004;11;76;3940;1414;6;3
1005;11;82;3746;1409;6;1
1006;11;90;3927;1384;6;1
1007;11;90;3734;1348;6;6
1008;11;96;4012;1342;6;5
1009;11;97;3701;1321;6;6
1010;11;90;3933;1316;6;1
1011;11;87;3726;1315;6;5
1012;11;80;3882;1305;6;2
1013;11;80;3993;1291;6;2
1014;11;82;3657;1277;6;4
1015;11;97;3985;1273;6;5
1016;11;72;3955;1233;6;2
1017;11;80;3853;1224;6;1
1018;11;75;3766;1217;6;1
1019;11;96;4008;1205;6;5
1020;11;93;3811;1195;6;6
1021;11;85;3751;1194;6;4
1022;11;70;3687;1193;6;6
1023;11;97;4016;1179;6;6
1024;11;97;3685;1124;6;5
1025;11;90;3943;1103;6;4
1026;11;71;3665;1089;6;1
1027;11;72;3741;1076;6;1
1028;11;96;3917;1045;6;5
1029;11;89;3847;1044;6;2
1030;11;72;3993;1017;6;1
1031;11;90;3836;995;6;4
1032;11;92;3803;979;6;1
1033;11;67;3768;954;6;1
1034;11;67;3861;944;6;5
1035;11;91;3951;883;6;2
1036;11;67;3755;806;6;4
1037;11;89;4008;804;6;6
1038;11;67;3851;797;6;5
1039;11;77;4011;791;6;2
1040;11;70;3758;777;6;6
1041;11;79;3725;774;6;5
1042;11;76;3735;717;6;1
1043;11;90;3865;704;6;4
1044;11;82;3692;650;6;2
1045;11;83;3809;649;6;5
1046;11;86;3759;592;6;6
1047;11;88;3783;557;6;5
1048;11;73;3708;553;6;1
1049;11;80;3714;542;6;1
1050;11;81;3823;533;6;5
1051;11;92;3693;490;6;2
1052;11;69;3988;394;6;1
1053;11;90;3702;383;6;5
1054;11;97;3859;271;6;5
1055;11;93;3910;226;6;4
1056;11;90;3943;211;6;1
1057;11;87;3673;207;6;1
1058;11;78;3682;188;6;5
1059;11;82;3962;181;6;1
1060;11;68;3872;174;6;1
1061;11;94;3914;152;6;2
1062;11;77;3842;131;6;3
1063;11;79;3947;125;6;4
1064;11;93;3968;20;6;6
1065;11;90;3748;18;6;5
1066;12;67;3753;2985;8;4
1067;12;72;3659;2966;8;4
1068;12;85;3836;2965;8;4
1069;12;73;3768;2964;8;4
1070;12;70;3882;2960;8;5
1071;12;68;3667;2931;8;1
1072;12;73;3708;2912;8;5
1073;12;84;3768;2904;8;5
1074;12;68;3701;2896;8;2
1075;12;69;3953;2846;8;1
1076;12;69;3780;2835;8;1
1077;12;74;3795;2829;8;3
1078;12;92;3865;2825;8;6
1079;12;68;3841;2816;8;2
1080;12;73;3753;2815;8;5
1081;12;75;3666;2763;8;5
1082;12;80;3949;2732;8;2
1083;12;78;3862;2695;8;2
1084;12;76;3780;2691;8;3
1085;12;92;3812;2682;8;4
1086;12;81;3824;2666;8;1
1087;12;88;3679;2640;8;1
1088;12;78;3692;2630;8;4
1089;12;87;3709;2601;8;3
1090;12;93;3742;2589;8;6
1091;12;80;3814;2487;8;4
1092;12;88;3861;2476;8;1
1093;12;71;3989;2424;8;1
1094;12;88;3702;2394;8;3
1095;12;83;4001;2392;8;4
1096;12;97;3728;2295;8;2
1097;12;92;3944;2288;8;3
1098;12;70;3769;2286;8;6
1099;12;78;3667;2267;8;5
1100;12;95;3876;2256;8;3
1101;12;90;3976;2254;8;5
1102;12;70;3718;2241;8;3
1103;12;67;3661;2232;8;3
1104;12;69;3895;2217;8;2
1105;12;80;3900;2171;8;3
1106;12;96;3773;2149;8;6
1107;12;91;3955;2145;8;4
1108;12;68;3995;2143;8;3
1109;12;67;3714;2138;8;6
1110;12;82;3799;2111;8;4
1111;12;70;3848;2109;8;4
1112;12;79;3829;2106;8;6
1113;12;97;3996;2075;8;4
1114;12;67;3901;2043;8;4
1115;12;69;3710;2007;8;1
1116;12;97;3950;1942;8;5
1117;12;94;3843;1877;8;2
1118;12;95;3926;1871;8;3
1119;12;68;3708;1869;8;5
1120;12;79;3826;1863;8;3
1121;12;85;4007;1813;8;3
1122;12;75;3674;1812;8;5
1123;12;83;3815;1800;8;6
1124;12;88;3934;1725;8;3
1125;12;87;3710;1722;8;3
1126;12;97;3772;1706;8;2
1127;12;79;3747;1700;8;5
1128;12;85;3835;1668;8;1
1129;12;67;3984;1653;8;4
1130;12;80;3708;1644;8;2
1131;12;91;3899;1617;8;3
1132;12;92;3768;1607;8;4
1133;12;92;3896;1578;8;6
1134;12;92;3742;1558;8;6
1135;12;88;3850;1533;8;6
1136;12;73;3780;1418;8;5
1137;12;83;3739;1337;8;2
1138;12;82;3794;1332;8;4
1139;12;97;3911;1297;8;6
1140;12;68;3873;1295;8;2
1141;12;90;3909;1285;8;5
1142;12;78;3978;1282;8;3
1143;12;67;3715;1271;8;5
1144;12;70;3957;1257;8;5
1145;12;83;3982;1247;8;5
1146;12;74;3866;1212;8;6
1147;12;90;3909;1175;8;1
1148;12;70;3924;1144;8;1
1149;12;70;3745;1113;8;2
1150;12;81;3654;966;8;1
1151;12;81;3864;959;8;2
1152;12;80;3951;922;8;2
1153;12;67;3728;914;8;5
1154;12;86;3997;902;8;3
1155;12;79;3946;877;8;3
1156;12;67;3861;868;8;1
1157;12;86;3704;864;8;6
1158;12;75;3692;854;8;3
1159;12;84;3880;853;8;4
1160;12;94;4002;849;8;2
1161;12;86;3868;823;8;5
1162;12;72;3943;809;8;4
1163;12;70;3758;777;8;2
1164;12;82;4007;775;8;4
1165;12;73;3712;767;8;3
1166;12;95;3918;732;8;5
1167;12;93;3798;725;8;1
1168;12;67;3960;713;8;2
1169;12;82;3916;586;8;4
1170;12;73;3856;580;8;1
1171;12;77;3873;556;8;5
1172;12;94;3821;515;8;4
1173;12;91;3734;473;8;5
1174;12;78;3699;443;8;3
1175;12;96;3799;423;8;3
1176;12;89;3997;402;8;4
1177;12;90;3821;323;8;1
1178;12;83;3844;307;8;6
1179;12;80;3980;303;8;2
1180;12;90;3688;215;8;2
1181;12;92;3809;196;8;5
1182;12;73;3755;147;8;3
1183;12;88;3695;127;8;3
1184;12;94;3786;118;8;5
1185;12;92;3750;116;8;3
1186;12;74;4011;114;8;4
1187;12;67;3798;105;8;3
1188;12;91;3708;101;8;4
1189;12;90;4010;98;8;2
1190;12;77;3875;80;8;4
1191;12;86;3696;45;8;6
1192;1;92;3678;2959;700;4
1193;1;73;3988;2955;700;1
1194;1;75;3718;2937;700;1
1195;1;85;3849;2925;700;1
1196;1;67;3751;2903;700;1
1197;1;94;4001;2898;700;3
1198;1;86;3958;2856;700;5
1199;1;76;3673;2791;700;4
1200;1;88;3903;2739;700;5
1201;1;86;3891;2713;700;6
1202;1;84;3910;2706;700;5
1203;1;76;3883;2696;700;4
1204;1;93;3821;2678;700;3
1205;1;74;3798;2609;700;3
1206;1;93;3659;2593;700;5
