Datum,Verbrauchsstatistik,Verbrauch,Verbrauchsvorhersage,Solar,Wind
2018-01-01,1139496.7040816997,1125425,1094185.0,29487,680098
2018-01-02,1436709.7040814,1399625,1371066.0,16325,472794
2018-01-03,1563314.6734693001,1542826,1413583.0,13104,937881
2018-01-04,1550202.9693877,1503326,1415554.0,9263,591315
2018-01-05,1523949.9183670003,1468608,1431140.0,18381,526592
2018-01-06,1297916.1020408,1254027,1227043.0,29156,203898
2018-01-07,1254619.5510205,1219327,1184401.0,17002,389480
2018-01-08,1600606.3061224,1556654,1434779.0,30372,557077
2018-01-09,1648311.8163266,1573494,1477228.0,29453,519079
2018-01-10,1590281.2244894998,1515467,1523106.0,37830,148126
2018-01-11,1599484.5102040998,1519929,1500878.0,21017,35787
2018-01-12,1601777.3571427,1508612,1479021.0,11012,132627
2018-01-13,1405121.4489796995,1335815,1345710.0,11430,336300
2018-01-14,1313583.5612245,1250982,1279034.0,33246,396861
2018-01-15,1658881.3163265004,1609492,1540389.0,30274,742826
2018-01-16,1662948.7346937,1631150,1611823.0,18546,673261
2018-01-17,1672831.0918367002,1643742,1624804.0,18865,661156
2018-01-18,1655721.7551022,1638547,1612165.0,15811,684237
2018-01-19,1594980.8163265998,1547874,1588425.0,26537,297658
2018-01-20,1386352.1224488,1346368,1382661.0,15012,205319
2018-01-21,1279264.5510202004,1237708,1292224.0,18296,109087
2018-01-22,1616113.2040815002,1554380,1575233.0,9661,313945
2018-01-23,1634047.0000001004,1583307,1614011.0,18981,394518
2018-01-24,1638916.7040814997,1615853,1609676.0,41023,761975
2018-01-25,1610916.8163265001,1564460,1578870.0,30155,394295
2018-01-26,1562047.6836737,1504184,1545288.0,27651,50694
2018-01-27,1370035.2959184,1315625,1322388.0,25560,314424
2018-01-28,1307475.1734698003,1266449,1234638.0,22199,841002
2018-01-29,1630389.1734693001,1580725,1528933.0,23738,899633
2018-01-30,1634868.3775511002,1563433,1551237.0,49860,467721
2018-01-31,1649540.0612247996,1608973,1572427.0,30908,705582
2018-02-01,1649991.5510202001,1590926,1555073.0,32595,522152
2018-02-02,1617992.6632653,1546457,1541927.0,38074,351063
2018-02-03,1385414.4081635,1307486,1359605.0,25097,112225
2018-02-04,1322135.8367348,1237988,1297260.0,26190,252420
2018-02-05,1619069.0714285,1529691,1554134.0,53302,202823
2018-02-06,1646634.3163265001,1543171,1586171.0,66492,93383
2018-02-07,1654910.6428572,1559602,1569164.0,55938,56458
2018-02-08,1654378.4795916,1558097,1563281.0,51721,91858
2018-02-09,1645586.9897957998,1564487,1545656.0,42355,209044
2018-02-10,1416001.4387756,1342273,1367858.0,24431,171108
2018-02-11,1336200.8061227,1275374,1293969.0,28515,625420
